,gene_id,gene_name,EntrezGene,logFC,logCPM,LR,PValue,FDR,topDE
8600,ENSMUSG00000031844,Hsd17b2,15486,-2.551975488,2.838037241,25.19318335,5.19E-07,3.33E-05,Down
7396,ENSMUSG00000029603,Dtx1,14357,2.658999222,1.810792427,25.18249357,5.22E-07,3.33E-05,Up
8350,ENSMUSG00000031442,Mcf2l,17207,2.541132862,3.103748612,25.08632366,5.48E-07,3.48E-05,Up
13226,ENSMUSG00000044748,Defb1,13214,2.554303636,2.866165777,25.07793479,5.51E-07,3.48E-05,Up
19208,ENSMUSG00000068744,Psrc1,56742,2.583836291,2.446678359,25.0618088,5.55E-07,3.49E-05,Up
3625,ENSMUSG00000022358,Fbxo32,67731,2.485991476,4.739500654,25.01859021,5.68E-07,3.54E-05,Up
6401,ENSMUSG00000027962,Vcam1,22329,-2.467050147,6.756104985,25.0170111,5.68E-07,3.54E-05,Down
865,ENSMUSG00000005580,Adcy9,11515,2.709540729,1.40957182,25.00489487,5.72E-07,3.55E-05,Up
8826,ENSMUSG00000032238,Rora,19883,2.704680302,1.405420791,24.91915788,5.98E-07,3.69E-05,Up
14917,ENSMUSG00000050957,Insl6,27356,-2.60051321,1.925204933,24.80806543,6.33E-07,3.89E-05,Down
12050,ENSMUSG00000040809,Chil3,12655,2.585515177,2.171112582,24.66788615,6.81E-07,4.16E-05,Up
31936,ENSMUSG00000095159,Tubb4b-ps1,100042651,2.708336807,1.258035739,24.56032776,7.20E-07,4.38E-05,Up
33503,ENSMUSG00000097906,Gm9625,674597,2.493871118,3.339133261,24.46097389,7.58E-07,4.59E-05,Up
7131,ENSMUSG00000029167,Ppargc1a,19017,2.511032076,2.936472313,24.40751364,7.80E-07,4.70E-05,Up
22192,ENSMUSG00000078965,Gm12033,100042746,2.525998747,2.631109866,24.32819598,8.12E-07,4.87E-05,Up
2275,ENSMUSG00000020044,Timp3,21859,2.490720787,3.162536581,24.26509504,8.39E-07,5.01E-05,Up
331,ENSMUSG00000001870,Ltbp1,268977,2.437302855,5.157205759,24.25021265,8.46E-07,5.02E-05,Up
7577,ENSMUSG00000030000,Add2,11519,-2.511037224,2.505147864,24.13751165,8.97E-07,5.30E-05,Down
16187,ENSMUSG00000056671,Prelid2,77619,-2.467204116,3.269871747,24.07443292,9.27E-07,5.45E-05,Down
11409,ENSMUSG00000039137,Whrn,73750,2.560119392,2.021952381,23.99989563,9.63E-07,5.64E-05,Up
12094,ENSMUSG00000040938,Slc16a11,216867,2.491233514,2.825037481,23.95738261,9.85E-07,5.74E-05,Up
7708,ENSMUSG00000030220,Arhgdib,11857,2.413117095,5.816695483,23.93082003,9.99E-07,5.79E-05,Up
17488,ENSMUSG00000062563,Cys1,12879,2.418975619,5.113244818,23.91275653,1.01E-06,5.82E-05,Up
51,ENSMUSG00000000290,Itgb2,16414,2.530250643,2.260159283,23.89983001,1.01E-06,5.84E-05,Up
12068,ENSMUSG00000040852,Plekhh2,213556,2.456770818,3.26343865,23.76163757,1.09E-06,6.24E-05,Up
4376,ENSMUSG00000024232,Bambi,68010,2.641971675,1.314388959,23.72309069,1.11E-06,6.34E-05,Up
7250,ENSMUSG00000029372,Ppbp,57349,2.396907319,6.250436519,23.69084337,1.13E-06,6.42E-05,Up
12794,ENSMUSG00000043168,4930426D05Rik,74644,2.63824386,1.298043993,23.62326884,1.17E-06,6.58E-05,Up
8053,ENSMUSG00000030849,Fgfr2,14183,2.406609562,4.805303704,23.61811697,1.17E-06,6.58E-05,Up
8800,ENSMUSG00000032184,Lysmd2,70082,2.648332321,1.241384066,23.61805921,1.17E-06,6.58E-05,Up
54178,ENSMUSG00000120992,D17H6S56E-5,110956,2.375705674,8.392605619,23.42118606,1.30E-06,7.25E-05,Up
21889,ENSMUSG00000078161,Erich3,209601,2.44855207,2.950922489,23.35817631,1.34E-06,7.46E-05,Up
1810,ENSMUSG00000017491,Rarb,218772,-2.621859849,1.065151957,23.25291553,1.42E-06,7.85E-05,Down
7341,ENSMUSG00000029510,Gpc2,71951,2.667751962,0.993153087,23.16283506,1.49E-06,8.19E-05,Up
14996,ENSMUSG00000051236,Msrb3,320183,2.513715398,1.960357702,23.14826956,1.50E-06,8.21E-05,Up
10486,ENSMUSG00000036885,Arhgef26,622434,2.577114821,1.471887275,23.14057908,1.51E-06,8.21E-05,Up
1039,ENSMUSG00000006649,Nphs1,54631,2.494772759,2.078454189,23.04261709,1.58E-06,8.60E-05,Up
