## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Minus_cre_p53mut.sorted.bam --OUTPUT Minus_cre_p53mut.markdup.sorted.bam --METRICS_FILE Minus_cre_p53mut.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.GRCm39.dna_sm.primary_assembly.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 20 04:06:08 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	17	75193719	16502657	0	11	26447470	10980160	0.351724	110897596

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
357.0	0	2	0	5
358.0	0	2	0	1
359.0	0	1	0	1
360.0	0	1	0	2
361.0	0	1	0	3
362.0	0	1	0	1
363.0	0	2	0	2
364.0	0	5	0	2
365.0	0	1	0	1
366.0	0	1	0	1
367.0	0	0	0	2
368.0	0	1	0	2
369.0	0	2	0	3
371.0	0	1	0	1
372.0	0	1	0	3
373.0	0	3	0	2
374.0	0	5	0	0
376.0	0	1	0	0
377.0	0	2	0	2
378.0	0	3	0	0
379.0	0	0	0	1
380.0	0	1	0	3
381.0	0	1	0	2
382.0	0	3	0	2
383.0	0	3	0	3
384.0	0	4	0	0
385.0	0	1	0	0
386.0	0	2	0	1
389.0	0	1	0	2
390.0	0	4	0	0
391.0	0	1	0	3
392.0	0	4	0	0
393.0	0	1	0	2
394.0	0	1	0	0
395.0	0	2	0	2
396.0	0	2	0	2
398.0	0	2	0	3
399.0	0	1	0	0
400.0	0	2	0	0
401.0	0	0	0	4
402.0	0	2	0	1
404.0	0	0	0	3
405.0	0	1	0	0
406.0	0	0	0	1
407.0	0	1	0	1
408.0	0	1	0	0
409.0	0	1	0	0
410.0	0	1	0	0
411.0	0	1	0	3
412.0	0	3	0	1
413.0	0	1	0	0
415.0	0	3	0	1
416.0	0	0	0	1
417.0	0	0	0	2
418.0	0	2	0	1
419.0	0	1	0	1
420.0	0	3	0	2
421.0	0	2	0	0
422.0	0	3	0	0
423.0	0	2	0	0
424.0	0	1	0	2
425.0	0	2	0	0
426.0	0	1	0	1
428.0	0	1	0	1
429.0	0	2	0	1
430.0	0	0	0	3
431.0	0	1	0	1
432.0	0	2	0	0
433.0	0	2	0	1
435.0	0	0	0	1
436.0	0	0	0	1
437.0	0	2	0	0
438.0	0	1	0	1
439.0	0	1	0	0
440.0	0	1	0	2
441.0	0	0	0	1
443.0	0	1	0	1
444.0	0	1	0	2
447.0	0	3	0	0
448.0	0	0	0	3
449.0	0	0	0	1
451.0	0	1	0	0
452.0	0	1	0	0
454.0	0	2	0	1
455.0	0	1	0	0
457.0	0	1	0	1
458.0	0	1	0	1
461.0	0	0	0	1
463.0	0	2	0	0
464.0	0	0	1	1
466.0	0	0	0	1
467.0	0	1	0	0
468.0	0	1	0	1
469.0	0	1	0	0
470.0	0	1	0	1
471.0	0	2	0	1
472.0	0	2	0	1
473.0	0	2	0	0
474.0	0	0	0	1
475.0	0	1	0	0
476.0	0	2	0	0
477.0	0	0	0	2
479.0	0	1	0	0
482.0	0	1	0	3
483.0	0	1	0	0
484.0	0	2	0	0
485.0	0	4	0	1
486.0	0	0	0	1
488.0	0	2	0	0
490.0	0	1	0	1
491.0	0	0	0	3
492.0	0	0	0	1
493.0	0	0	0	1
495.0	0	3	0	1
496.0	0	1	0	0
497.0	0	1	0	1
501.0	0	1	0	0
503.0	0	0	0	1
504.0	0	2	0	0
505.0	0	1	0	0
507.0	0	0	0	1
512.0	0	2	0	1
514.0	0	2	0	0
516.0	0	3	0	0
518.0	0	1	0	1
519.0	0	1	0	0
523.0	0	0	0	1
525.0	0	1	0	1
527.0	0	1	0	1
528.0	0	1	0	1
529.0	0	1	0	1
530.0	0	1	0	0
532.0	0	1	0	0
534.0	0	1	0	0
536.0	0	0	0	1
541.0	0	0	0	1
547.0	0	0	0	1
548.0	0	0	0	1
551.0	0	1	0	0
557.0	0	1	0	0
558.0	0	1	0	1
559.0	0	1	0	0
570.0	0	0	0	1
571.0	0	0	0	1
573.0	0	0	0	1
575.0	0	1	0	0
580.0	0	2	0	0
587.0	0	1	0	0
590.0	0	0	0	1
593.0	0	1	0	0
594.0	0	1	0	0
595.0	0	2	0	0
596.0	0	0	0	1
597.0	0	0	0	1
598.0	0	1	0	0
599.0	0	0	0	1
600.0	0	1	0	0
605.0	0	1	0	0
608.0	0	1	0	0
611.0	0	1	0	0
612.0	0	0	0	1
617.0	0	0	0	1
618.0	0	1	0	0
619.0	0	1	0	1
620.0	0	1	0	0
625.0	0	0	0	1
627.0	0	0	0	1
630.0	0	0	0	1
632.0	0	0	0	1
634.0	0	1	0	0
637.0	0	0	0	1
640.0	0	0	0	1
642.0	0	1	0	0
647.0	0	1	0	0
649.0	0	0	0	1
650.0	0	1	0	0
652.0	0	0	0	1
653.0	0	1	0	0
657.0	0	1	0	0
661.0	0	0	0	1
662.0	0	0	0	1
668.0	0	1	0	0
669.0	0	1	0	1
674.0	0	0	0	1
678.0	0	1	0	0
685.0	0	1	0	0
687.0	0	1	0	0
688.0	0	1	0	0
690.0	0	2	0	1
691.0	0	0	0	1
694.0	0	0	0	1
695.0	0	0	0	1
702.0	0	0	0	1
713.0	0	1	0	1
717.0	0	1	0	0
718.0	0	0	0	1
723.0	0	1	0	0
725.0	0	1	0	1
727.0	0	1	0	0
730.0	0	0	0	1
731.0	0	1	0	0
733.0	0	1	0	0
743.0	0	0	0	1
745.0	0	1	0	0
748.0	0	0	0	1
750.0	0	0	0	1
751.0	0	0	0	1
757.0	0	1	0	2
758.0	0	1	0	0
760.0	0	0	0	1
766.0	0	1	0	0
769.0	0	1	0	0
770.0	0	1	0	0
786.0	0	0	0	1
787.0	0	0	0	1
788.0	0	2	0	0
789.0	0	1	0	0
792.0	0	1	0	1
793.0	0	0	0	1
810.0	0	1	0	0
817.0	0	1	0	0
826.0	0	1	0	0
829.0	0	1	0	0
831.0	0	1	0	0
832.0	0	1	0	0
834.0	0	1	0	0
836.0	0	0	0	1
837.0	0	0	0	1
848.0	0	0	0	1
851.0	0	1	0	0
853.0	0	1	0	0
858.0	0	0	0	1
868.0	0	0	0	1
873.0	0	1	0	0
891.0	0	0	0	1
897.0	0	0	0	1
904.0	0	2	0	0
906.0	0	0	0	1
911.0	0	0	0	1
920.0	0	1	0	0
932.0	0	1	0	0
947.0	0	1	0	0
948.0	0	1	0	0
965.0	0	0	0	1
976.0	0	0	0	1
978.0	0	1	0	0
990.0	0	1	0	0
1000.0	0	1	0	0
1007.0	0	0	0	1
1018.0	0	0	0	1
1030.0	0	1	0	0
1031.0	0	1	0	0
1080.0	0	1	0	0
1089.0	0	0	0	1
1094.0	0	1	0	0
1101.0	0	1	0	0
1232.0	0	1	0	0
1240.0	0	0	0	1
1250.0	0	0	0	1
1338.0	0	0	0	1
1355.0	0	1	0	0
1357.0	0	1	0	0
1362.0	0	0	0	1
1372.0	0	0	0	1
1406.0	0	0	0	1
1413.0	0	0	0	1
1459.0	0	1	0	0
1485.0	0	1	0	0
1495.0	0	1	0	0
1545.0	0	1	0	0
1645.0	0	0	0	1
1667.0	0	0	0	1
1676.0	0	1	0	0
1722.0	0	1	0	0
1764.0	0	1	0	0
1800.0	0	0	0	1
1957.0	0	1	0	0
2127.0	0	0	0	1
2280.0	0	0	0	1
2387.0	0	1	0	0
2400.0	0	0	0	1
2492.0	0	1	0	0
2590.0	0	1	0	0
2861.0	0	0	0	1
3137.0	0	1	0	0
3583.0	0	0	0	1
3802.0	0	1	0	0

